127.0.0.1 - - [21/Feb/2025:11:46:47 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:46:47 +0530] "GET /facebookApp/ HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:46:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:53:12 +0530] "GET /loginsrv?username=admin&password=admin123 HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:55:53 +0530] "GET /loginsrv?username=admin&password=admin123 HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:55:55 +0530] "GET /loginsrv?username=admin&password=admin123 HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:55:59 +0530] "GET /facebookApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:56:09 +0530] "GET /loginsrv?username=admin&password=admin123 HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:57:46 +0530] "GET /facebookApp/ HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:57:58 +0530] "GET /facebookApp/loginsrv?username=admin&password=admin123 HTTP/1.1" 500 1396
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:58:50 +0530] "GET /facebookApp/login.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:59:02 +0530] "GET /facebookApp/loginsrv?username=admin&password=admin123 HTTP/1.1" 500 1396
0:0:0:0:0:0:0:1 - - [21/Feb/2025:11:59:53 +0530] "GET /facebookApp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2025:12:00:03 +0530] "GET /facebookApp/loginsrv?username=admin&password=admin123 HTTP/1.1" 200 15
